state,1970_carbon_emission_pc,1980_carbon_emission_pc,1990_carbon_emission_pc,2000_carbon_emission_pc,2010_carbon_emission_pc,2016_carbon_emission_pc,2017_carbon_emission_pc,2018_carbon_emission_pc,2019_carbon_emission_pc,2020_carbon_emission_pc,1980 Automobile,2000_automobile,2016_automobile,2017_automobile,2018_automobile,2019_automobile,1990 auto,2010_automobile,2020_automobile,1980 Cattle,2000_cattle,2016_cattle,2017_cattle,2018_cattle,2019_cattle,1990_cattle,2010_cattle,2020_cattle,2016_ev,2017_ev,2018_ev,2019_ev,2020_ev,state_code,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population,1980_cattle_pc,1990_cattle_pc,2000_cattle_pc,2010_cattle_pc,2020_cattle_pc,1980_auto_pc,1990_auto_pc,2000_auto_pc,2010_auto_pc,2020_auto_pc,,
Alabama,30.9,27.5,27.1,31.96,27.7,23.4,22.3,23,21.6,19.6,"2,105,546",1961806,"2,284,443 ",2065463,2161212,2109108,2053319,2211550,2035376,1730,1460,1250,1300,1340,1300,1880,1280,1310,30500,32500,34600,37500,41300,1,"4,040,587","4,040,389","4,447,100","4,779,736","5,024,279",0.428155612,0.465301732,0.328303838,0.267797217,0.260733928,0.521099038,0.508198344,0.441142767,0.462692919,0.405108076,,
Alaska,66.6,42.9,61.4,69.39,52,45,45.5,46.8,46.7,49.1,"156,000",244305,"183,259 ",173487,183270,178516,236151,228407,171144,8.4,10,11,13,14,16,9.2,14.5,17,5400,5900,6200,6900,7500,2,"550,043","550,043","626,932","710,231","733,391",0.015271533,0.016725965,0.015950693,0.020415893,0.023179995,0.28361419,0.429331889,0.389683411,0.321595368,0.233359831,,
Arizona,16.4,19.3,17.1,16.79,15.5,13.1,12.8,13.1,12.7,11.2,"1,372,742",2163141,"2,377,962 ",2391624,2391772,2405959,1637845,2201251,2410018,1050,840,900,970,1000,1020,880,930,970,98700,109000,122300,137200,155400,4,"3,665,228","3,665,339","5,130,632","6,392,017","7,151,502",0.286476039,0.240086933,0.16372252,0.145493981,0.135635843,0.374531134,0.446846799,0.421612971,0.344375023,0.336994662,,
Arkansas,22.6,16.4,21.5,23.64,22.6,20.8,21.4,23.5,21.5,18.2,"1,036,456",951243,"942,604 ",926789,921161,886647,1203811,945198,872437,2000,1840,1700,1750,1760,1780,1750,1890,1740,19800,20900,21700,23000,24800,5,"2,350,725","2,350,624","2,673,400","2,915,918","3,011,524",0.850801349,0.744483167,0.688262138,0.648166375,0.577780552,0.440909081,0.512124015,0.355817685,0.324151091,0.289699501,,
California,11,14.5,12,11.25,9.6,9,9.1,9.1,9.1,7.7,"13,268,006",17321413,"14,768,392 ",14860967,15065827,14894912,12808053,17977605,14201400,4550,5100,5200,5150,5200,5150,4700,5150,5200,1224900,1388600,1573800,1751200,1919500,6,"29,760,021","29,811,427","33,871,648","37,253,956","39,538,223",0.152889677,0.157657666,0.150568405,0.138240352,0.131518303,0.44583322,0.42963569,0.511383828,0.482569019,0.359181544,,
Colorado,20.4,20.2,20.1,19.76,19,15.9,15.8,15.8,15.9,13.8,"1,739,718",1920757,"1,807,777 ",1785058,1798177,1741218,1490475,1890748,1639028,2975,3150,2700,2850,2850,2850,2850,2600,2800,83100,93000,104600,120900,132000,8,"3,294,394","3,294,473","4,301,261","5,029,196","5,773,714",0.903049241,0.86508525,0.732343376,0.516981243,0.484956477,0.528084376,0.452416821,0.446556719,0.375954327,0.283877587,,
Connecticut,11.6,12.9,12.3,12.53,10.2,9.5,9.5,10.5,10.3,9.4,"1,984,064",2009190,"1,352,381 ",1302339,1306709,1260954,1301715,1985500,1211171,104,67,49,48,50,47,76,48,49,48000,52100,55300,60000,64800,9,"3,287,116","3,287,116","3,405,565","3,574,097","3,605,944",0.031638677,0.023120571,0.019673681,0.013429966,0.013588675,0.603588069,0.396005191,0.589972589,0.555524934,0.335881811,,
Delaware,19.7,29.4,26.9,21.22,14.5,15.2,14.4,14.5,13.9,12.6,"321,644",400306,"447,007 ",419199,433363,423462,332478,434037,415915,30,27,16,16,17,15,31,20,15,12200,13200,14300,15800,18200,10,"666,168","666,168","783,600","897,934","989,948",0.045033685,0.046534808,0.034456355,0.022273352,0.015152311,0.482827155,0.49909032,0.510855028,0.483372943,0.420138229,,
District of Columbia,7.3,8.2,7.3,7.54,5.3,4,3.7,4.1,4,3.5,"247,137",200288,"206,833 ",208141,209723,203771,165513,160090,210297,,,,,,,,,,12900,15100,16000,16800,18300,11,"606,900","606,900","572,059","601,723","689,545",,,,,,0.407212061,0.272718735,0.350117733,0.266052652,0.30497937,,
Florida,14.5,15.8,14.4,14.9,13,11.6,11.4,11.4,10.9,9.6,"6,196,637",7352705,"7,855,250 ",7778493,7966091,7841189,5830693,7295121,7841553,2300,1830,1690,1700,1630,1680,1975,1720,1680,228800,249000,271700,296000,329100,12,"12,937,926","12,938,071","15,982,378","18,801,310","21,538,187",0.177771924,0.152650268,0.114501109,0.091482987,0.078000994,0.47895134,0.450661694,0.460050751,0.388011314,0.364076744,,
Georgia,19.6,20.6,21.3,20.62,18,14,13.6,13.5,12.8,10.9,"2,932,464",4066530,"3,538,180 ",3536055,3557469,3499520,3455575,3738952,3495421,1600,1310,1100,1110,1070,1070,1500,1060,1100,108400,111800,120000,129200,141900,13,"6,478,216","6,478,149","8,186,453","9,687,653","10,711,908",0.246981576,0.231547623,0.160020463,0.109417627,0.102689456,0.452665363,0.533420117,0.496738942,0.38595024,0.326311708,,
Hawaii,16.5,18.7,19.2,15.43,15,13.9,14.3,14.3,14.5,10.3,"514,509",459515,"516,544 ",512386,509492,498992,360888,450398,474979,213,164,140,142,144,142,212,151,140,28000,30800,33800,37500,40300,15,"1,108,229","1,108,229","1,211,537","1,360,301","1,455,271",0.192198544,0.191296203,0.135365243,0.111004844,0.096202013,0.46426235,0.325643888,0.37928268,0.331101719,0.326385257,,
Idaho,11.2,11.8,11.2,12.08,10.3,10.9,10.9,10.9,11.2,10.5,513256,515266,"607,902 ",550006,598774,602170,464899,541038,588362,1860,1950,2400,2370,2400,2500,1650,2140,2490,17300,19200,21800,25000,28900,16,"1,006,749","1,006,734","1,293,953","1,567,582","1,839,106",1.847531013,1.638963222,1.507009915,1.365159845,1.353918697,0.509815257,0.461789311,0.398210754,0.345141753,0.319917395,,
Illinois,18.2,20.3,16.8,18.89,18.2,16.2,16.1,16.7,16.1,13.3,"6,240,460",5953984,"4,524,709 ",4655844,4477763,4322850,5092208,5772947,4161655,2700,1510,1180,1220,1150,1190,1950,1170,1100,158300,171800,187300,208200,229600,17,"11,430,602","11,430,602","12,419,293","12,830,632","12,812,508",0.236208032,0.17059469,0.121585021,0.091188026,0.085853605,0.54594325,0.445489048,0.479414086,0.449934734,0.324811895,,
Indiana,37.9,33.5,37.1,39.35,33.6,27.4,26.4,28.2,26.2,22.7,"2,872,006",3244937,"2,330,172 ",2261440,2248870,2185979,2589010,2986033,2123748,1850,970,890,890,870,880,1290,870,840,58200,64800,71500,78700,87600,18,"5,544,159","5,544,156","6,080,485","6,483,802","6,785,528",0.333684514,0.232677435,0.159526748,0.134180532,0.123792872,0.518023744,0.466980006,0.533664173,0.460537351,0.312981982,,
Iowa,26.9,20.3,22.8,27.11,29.6,23.6,24.3,26.2,24.5,20.6,"1,678,976",1751690,"1,303,131 ",1268996,1242219,1221843,1296381,1691090,1163751,7150,3700,3950,3900,4000,3950,4600,3850,3900,28500,31100,33800,37100,41300,19,"2,776,755","2,776,831","2,926,324","3,046,355","3,190,369",2.574948096,1.656564623,1.264384942,1.263805433,1.22242913,0.604653994,0.466856283,0.598597421,0.555119151,0.364770031,,
Kansas,28.1,28.7,27.7,28.14,25.4,21.5,20.3,21.6,20.8,19.7,"1,387,847",826441,"980,359 ",987259,975171,947148,1180600,880308,889083,6100,6550,6250,6400,6300,6400,5650,6000,6450,27800,30500,33100,36100,39500,20,"2,477,574","2,477,588","2,688,418","2,853,118","2,937,880",2.462085895,2.280443722,2.436377081,2.102962443,2.195460672,0.560163692,0.476511833,0.307407925,0.308542444,0.302627405,,
Kentucky,37,28.3,32.6,36.32,35.2,28.6,26.2,27.5,25.8,22.6,"1,807,358",1673926,"1,713,590 ",1691085,1721942,1669167,1779908,1890079,1644497,2700,2250,2170,2170,2160,2130,2500,2300,2130,32300,35800,38500,41700,46000,21,"3,685,296","3,686,892","4,041,769","4,339,367","4,505,836",0.732641286,0.678077904,0.556686936,0.530031223,0.472720268,0.490424107,0.482766514,0.414156771,0.435565602,0.364970452,,
Louisiana,45.5,45.7,45.4,49.33,44.8,40.4,41.4,41.8,41.8,39.4,"1,968,041",1964694,"1,425,349 ",1389436,1389249,1349720,1790914,1917283,1315691,1300,910,780,780,820,800,1075,840,780,18600,20000,20800,22200,24800,22,"4,219,973","4,221,826","4,468,976","4,533,372","4,657,757",0.308058843,0.254629158,0.203626066,0.185292537,0.167462579,0.46636341,0.42420365,0.439629571,0.422926466,0.282473087,,
Maine,18.4,13,15.3,17.42,13.4,12.1,11.5,11,10.7,9.9,"518,079",618283,"409,229 ",387233,390506,373868,577864,518779,356079,131,97,81,84,82,78,112,87,80,19200,20700,22200,24100,27100,23,"1,227,928","1,227,928","1,274,923","1,328,361","1,362,359",0.10668378,0.09121056,0.076083026,0.065494244,0.058721673,0.421913174,0.470600882,0.484957131,0.390540674,0.261369433,,
Maryland,14.5,16,14.7,14.78,12.3,10.1,9.1,10.2,9.4,7.8,"2,345,047",2605816,"1,976,021 ",2006904,1922463,1868994,1965028,2590777,1823553,380,245,190,186,193,197,328,195,179,94100,102100,112100,123900,139600,24,"4,781,468","4,780,753","5,296,486","5,773,552","6,177,224",0.079473501,0.068608439,0.046257084,0.033774702,0.028977418,0.490444985,0.411028974,0.491989595,0.448731907,0.295205905,,
Massachusetts,12.9,13.5,13.8,12.94,11.1,9.4,9.4,9.3,9.2,7.4,"3,289,836",3673638,"2,305,471 ",2208468,2182530,2088674,2334458,3144691,2003373,103,57,38,38,38,37,75,43,34,107100,117100,128900,139400,159200,25,"6,016,425","6,016,425","6,349,097","6,547,629","7,029,917",0.017119801,0.012465875,0.008977655,0.006567263,0.004836472,0.54680911,0.388014145,0.57860795,0.48027935,0.284978187,,
Michigan,18.9,19.4,19.3,19.55,17,15.5,15.6,16.4,15.9,13.6,"5,246,057",5023421,"3,248,359 ",3257473,3023940,2831499,4144034,5135712,2691704,1310,1010,1150,1180,1160,1160,1225,1100,1150,78100,86500,95500,105500,116500,26,"9,295,297","9,295,287","9,938,444","9,883,640","10,077,331",0.140931484,0.131787216,0.101625566,0.111295029,0.114117518,0.564377556,0.445820984,0.505453469,0.519617469,0.267104851,,
Minnesota,19.4,17.5,18,19.89,17.3,16.5,16.4,16.9,16.3,13.7,"2,314,444",2625595,"2,081,723 ",2146187,1976525,1836831,1872567,2459074,1841690,3750,2550,2420,2410,2350,2320,2820,2420,2280,62900,68700,80700,90900,100900,27,"4,375,099","4,375,665","4,919,479","5,303,925","5,706,494",0.857123462,0.644473469,0.518347573,0.456265879,0.399544799,0.529003801,0.427950266,0.533714038,0.463632876,0.322735816,,
Mississippi,21.9,18.9,18.8,21.55,21.4,20.8,20.2,21.2,21,21.4,"1,219,147",1318648,"840,737 ",822864,825338,806061,1196522,1143527,788425,1810,1070,940,890,930,900,1390,970,920,12100,13300,14400,15500,17300,28,"2,573,216","2,575,475","2,844,658","2,967,297","2,961,279",0.703399948,0.539706268,0.376143635,0.326896836,0.310676569,0.47378339,0.464583038,0.463552385,0.385376658,0.266244754,,
Missouri,23.5,21.2,20.1,22.6,22.8,19.5,20.4,20.4,19.1,17.7,"2,432,407",2715215,"2,247,914 ",2141050,2102216,2052788,2684647,2578536,1991376,5350,4350,4100,4350,4450,4250,4500,4150,4350,67300,94200,106300,96100,89600,29,"5,117,073","5,116,901","5,595,211","5,988,927","6,154,913",1.045519577,0.879438551,0.777450573,0.692945498,0.706752476,0.475351241,0.524662682,0.485274818,0.430550581,0.32354251,,
Montana,34,25.7,34.9,35.15,35.3,29.9,29.6,29.4,30.2,24.1,"419,700",466659,"441,201 ",441392,452845,439118,410718,351574,459081,2545,2600,2650,2650,2550,2500,2450,2550,2500,10200,10600,10900,11700,12700,30,"799,065","799,065","902,195","989,415","1,084,225",3.184972437,3.066083485,2.881860352,2.577280514,2.305794461,0.525238873,0.513998235,0.517248488,0.355335223,0.423418571,,
Nebraska,24.5,19.2,20.8,24.31,27.3,25.4,25,27.2,26.1,23.7,"835,644",852481,"700,277 ",677040,683020,661864,739805,773080,624907,6400,6650,6450,6450,6800,6800,5500,6250,6800,15400,17100,18700,20600,23300,31,"1,578,385","1,578,417","1,711,263","1,826,341","1,961,504",4.05477751,3.484503778,3.886018689,3.422142962,3.466727572,0.529429765,0.468700603,0.498158962,0.423294445,0.318585636,,
Nevada,19.2,27.6,25.2,22.6,15.3,13.7,13.5,13.7,13.5,11.6,"471,593",655592,"1,047,362 ",1047508,1073760,1060188,627053,690124,1027503,580,510,435,445,465,470,520,450,480,34100,39500,45300,51600,58100,32,"1,201,833","1,201,675","1,998,257","2,700,551","3,104,614",0.482596168,0.432729315,0.255222426,0.166632661,0.154608592,0.392394784,0.521815799,0.328081923,0.25554933,0.330959984,,
New Hampshire,13.9,13.8,13.1,14.09,12.7,10.3,10,10.5,10.2,9,"593,996",670394,"529,491 ",505381,506959,489224,493509,618598,460825,70,47,35,35,37,33,55,37,32,20600,22400,23900,26000,28500,33,"1,109,252","1,109,252","1,235,786","1,316,470","1,377,529",0.063105588,0.049582962,0.038032475,0.028105464,0.023230001,0.535492386,0.444902511,0.542483893,0.469891452,0.334530162,,
New Jersey,14.1,15,14.2,14.78,12,11.9,11.2,11.8,11.3,9,"4,256,753",4450719,"2,847,881 ",2798699,2754253,2639261,3275142,3971896,2541125,100,48,28,28,29,30,75,36,28,90600,99900,113400,131800,147800,34,"7,730,188","7,747,750","8,414,350","8,791,894","9,288,994",0.012936296,0.00968023,0.00570454,0.004094681,0.00301432,0.550666167,0.422721693,0.528943888,0.451767958,0.273562993,,
New Mexico,29.9,34.3,34.7,31.99,26.1,23.3,23.7,21.9,23.3,21.3,"686,626",729727,"661,197 ",609494,655766,641838,777137,702897,623955,1600,1640,1380,1430,1510,1480,1350,1550,1450,21900,25300,27600,30300,33000,35,"1,515,069","1,515,069","1,819,046","2,059,179","2,117,522",1.056057513,0.891048527,0.901571483,0.752727179,0.684762661,0.453197841,0.512938355,0.401159179,0.341348178,0.294662818,,
New York,10.6,12.6,11.5,11.17,9.5,8.7,8.5,9,8.7,7.1,"6,994,316",7501343,"4,890,916 ",4563035,4712779,4444391,5818951,7950192,4232748,1780,1460,1460,1500,1480,1450,1525,1410,1470,184700,197500,213000,233800,257900,36,"17,990,455","17,990,778","18,976,457","19,378,102","20,201,249",0.098941355,0.08476565,0.076937439,0.072762544,0.072767778,0.388779272,0.323440765,0.395297341,0.410266805,0.209529025,,
North Carolina,17.5,19.1,16.7,18.45,15.4,12.3,11.8,12,11.7,10.2,"3,395,784",3743066,"3,546,363 ",3317918,3393781,3434565,3210890,3281831,3398470,1080,940,800,830,810,800,850,820,810,113900,123500,133200,146300,158900,37,"6,628,637","6,632,448","8,049,313","9,535,483","10,439,388",0.162929423,0.128157808,0.116780153,0.085994595,0.077590755,0.512289932,0.484118383,0.465016828,0.3441704,0.32554303,,
North Dakota,81.3,39,70.4,79.94,78.3,72.7,75.2,78,74.8,69.6,"364,909",339237,"243,338 ",276545,240048,228881,310104,340756,215654,2000,1830,1700,1820,1860,1830,1600,1720,1900,3500,4000,4000,4400,4900,38,"638,800","638,800","642,200","672,591","779,094",3.130870382,2.504696306,2.84957957,2.557274778,2.438730115,0.57124139,0.485447714,0.528241981,0.506631816,0.276801002,,
Ohio,23,25.4,22.7,23.47,21.4,17.6,17.6,17.9,16.8,15.7,"6,415,046",6709706,"4,693,947 ",4605459,4603594,4423248,4624942,5614698,4247843,1925,1230,1240,1300,1300,1310,1760,1280,1290,98900,107900,118500,133300,148100,39,"10,847,115","10,847,115","11,353,140","11,536,504","11,799,448",0.177466543,0.162255125,0.108340072,0.110952157,0.109327148,0.591405733,0.426375308,0.591000023,0.486689729,0.360003536,,
Oklahoma,29.1,25.4,27.9,29,28.1,24.5,23.8,24.9,22.9,21.1,"1,807,643",1587115,"1,379,222 ",1337624,1296219,1255134,1619454,1581768,1223848,5500,5200,4850,5000,5100,5300,5150,5450,5200,26100,28000,32800,33500,35300,40,"3,145,585","3,145,576","3,450,654","3,751,351","3,959,353",1.748482397,1.637220019,1.506960709,1.452809934,1.313345893,0.574660357,0.514835439,0.459946144,0.421652893,0.309103028,,
Oregon,11.1,10.7,10.8,12.11,10.6,9.2,9.4,9.5,9.9,8.8,"1,538,556",1541253,"1,483,576 ",1542461,1488623,1424799,1315692,1488595,1440848,1510,1450,1320,1320,1270,1310,1390,1260,1280,95300,106900,118500,131200,140700,41,"2,842,321","2,842,337","3,421,399","3,831,074","4,237,256",0.53125597,0.4890342,0.423803245,0.328889497,0.302082291,0.541302689,0.462890924,0.450474499,0.388558143,0.340042707,,
Pennsylvania,22.1,24.8,22.2,22.67,20.1,17,16.8,17.2,17.1,14.9,"5,821,025",6032058,"4,640,471 ",4463267,4424183,4267811,4505001,5682239,4043715,1900,1640,1600,1620,1620,1600,1900,1620,1530,111800,122000,132300,149500,171100,42,"11,881,643","11,882,842","12,281,054","12,702,379","13,002,700",0.159910544,0.159894409,0.133539027,0.127535165,0.117667869,0.489917514,0.379118144,0.491167778,0.447336597,0.31099041,,
Rhode Island,11,8.8,8.8,11.21,10.4,9.1,9.4,10.4,9.8,9,"542,462",538975,"436,247 ",420313,412255,396508,360748,478624,381767,8,6,5,4.6,5,4.7,7,4.7,4.3,11900,13000,14300,15500,17300,44,"1,003,464","1,003,464","1,048,319","1,052,567","1,097,379",0.007972384,0.006975836,0.005723449,0.004465274,0.003918427,0.540589398,0.359502683,0.514132626,0.454720697,0.347889836,,
South Carolina,19.9,17.6,17.4,20.38,18.5,14.6,13.9,14.6,13.5,12.4,"1,533,081",1924398,"1,840,357 ",1808401,1830186,1801243,1766652,2030632,1767348,625,465,340,340,340,350,610,380,340,41300,44700,48000,52100,57100,45,"3,486,703","3,486,310","4,012,012","4,625,364","5,118,425",0.179252434,0.174970097,0.115901946,0.082155696,0.066426684,0.439693602,0.506739791,0.479659084,0.439021015,0.345291374,,
South Dakota,18.1,16.8,16.9,18.82,18.5,17.1,16.8,17.7,18,16.8,"369,549",380281,"364,576 ",353180,358859,342868,358187,406531,325001,4010,3900,3950,3850,4000,4050,3480,3800,3900,5600,6200,6800,7300,8100,46,"696,004","696,004","754,844","814,180","886,667",5.761461141,4.999971265,5.166630456,4.667272593,4.398494587,0.530958155,0.514633537,0.503787538,0.49931342,0.366542343,,
Tennessee,21.8,21.9,21.5,22.57,17.2,15.2,14.5,13.8,13.5,12,"2,564,551",2854569,"2,347,806 ",2325004,2285329,2185229,2418720,2734382,2115632,2300,2100,1830,1830,1830,1800,2300,2040,1810,52700,58400,66000,73600,80800,47,"4,877,185","4,877,203","5,689,283","6,346,105","6,910,840",0.471583506,0.471581765,0.369115054,0.32145702,0.26190738,0.525826066,0.495923586,0.501744947,0.430875632,0.306132395,,
Texas,31.3,36,33.4,32.13,24.4,23.5,23.5,23.9,23.6,21.4,"7,484,817",7616183,"8,287,254 ",8176879,8248322,8313623,8452733,8331127,8088058,13200,13900,11700,12300,12500,13000,13600,13300,13000,225700,244100,266900,301100,334900,48,"16,986,510","16,986,335","20,851,820","25,145,561","29,145,505",0.77708723,0.800643576,0.666608478,0.528920393,0.446037905,0.440633008,0.497619587,0.365252673,0.331316012,0.277506188,,
Utah,26.9,24.4,31.5,29.13,23.1,19.3,19,19.4,19.2,17.5,"678,027",866723,"940,604 ",925052,937421,921645,699331,1316966,902723,840,910,830,820,800,810,830,800,820,36900,42800,49900,57700,66200,49,"1,722,850","1,722,850","2,233,169","2,763,885","3,271,616",0.48756421,0.481759875,0.407492671,0.289447643,0.250640662,0.393549642,0.405915199,0.388113484,0.476490881,0.27592572,,
Vermont,10.3,9,9.7,11.12,9.4,9.5,9.3,9.4,9.6,8.4,"270,287",295640,"229,570 ",221936,218302,206621,279248,293084,193407,340,295,260,260,260,255,300,265,250,13100,14500,15700,17000,18400,50,"562,758","562,758","608,827","625,741","643,077",0.604167333,0.533088823,0.484538301,0.423497901,0.388755934,0.480289929,0.496213292,0.485589502,0.46837909,0.300752476,,
Virginia,16.4,15.3,15.3,17.35,13.9,13.1,12.5,12.9,12.5,11.4,"3,071,878",3873910,"3,242,520 ",3251339,3267735,3187026,2938282,3510417,3057254,1750,1600,1480,1520,1480,1440,1670,1550,1450,134000,148000,159300,175800,189500,51,"6,187,358","6,189,197","7,078,515","8,001,024","8,631,393",0.282834774,0.269824987,0.226036111,0.193725203,0.167991424,0.496476525,0.474743654,0.547277218,0.438745966,0.354201691,,
Washington,12.1,14,14.6,14.27,10.9,10.9,10.7,10.5,11.1,8.9,"2,293,521",2891430,"2,935,656 ",2925765,2964939,2943914,2230958,2599791,2800370,1579,1210,1150,1150,1160,1180,1300,1040,1200,164700,195900,221700,249900,280200,53,"4,866,692","4,866,669","5,894,121","6,724,540","7,705,281",0.324450366,0.26712316,0.205289304,0.154657419,0.155737344,0.471268985,0.458415808,0.490561697,0.386612467,0.363435156,,
West Virginia,65.7,52.5,57.7,64.03,54.2,51.6,49.9,49.4,47.6,43,"928,962",795249,"584,599 ",562984,560118,536646,813499,702587,508663,545,420,390,405,395,390,500,370,395,9600,10200,10800,11900,13200,54,"1,793,477","1,793,477","1,808,344","1,852,994","1,793,716",0.303879002,0.278788075,0.232256695,0.199676847,0.220213233,0.517967055,0.45358764,0.439766438,0.379163127,0.283580567,,
Wisconsin,19.7,17.3,17.5,20.06,17.4,16.6,17,17.4,16.3,14.8,"2,399,134",2526849,"2,159,924 ",2092584,2087518,2004002,2009548,2461343,1901497,4280,3400,3500,3550,3500,3450,4130,3400,3450,66900,73400,79100,86200,94700,55,"4,891,769","4,891,954","5,363,675","5,686,986","5,893,718",0.874939107,0.844243425,0.633893739,0.597856228,0.585369032,0.490443028,0.410786365,0.471104047,0.432802718,0.322631147,,
Wyoming,125,86.6,126,128.49,116.1,104.7,108.3,110.3,101.9,96.4,"277,906",215110,"211,613 ",193523,203546,196219,282290,209777,191332,1340,1580,1310,1330,1320,1300,1380,1320,1320,4000,4200,4500,4600,5300,56,"453,588","453,589","493,782","563,626","576,851",2.954222775,3.042401822,3.199792621,2.341978546,2.288285883,0.612683757,0.622347544,0.435637589,0.372191844,0.331683572,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,